Rank	Name	Team	G	QB Rating	Att	Comp	Comp %	Pass Yds	Yd/A	Yd/G	TD	Int
1	D. Brees	NO	15	115.7	489	364	74.4	3992	8.16	266.1	32	5
2	P. Mahomes	KC	15	114.0	556	369	66.4	4816	8.66	321.1	48	11
3	R. Wilson	Sea	15	112.7	406	268	66.0	3296	8.12	219.7	34	6
4	M. Ryan	Atl	15	108.5	564	391	69.3	4546	8.06	303.1	33	6
5	P. Rivers	LAC	15	107.7	484	333	68.8	4132	8.54	275.5	31	10
6	D. Watson	Hou	15	104.1	470	320	68.1	3931	8.36	262.1	26	9
7	C. Wentz	Phi	11	102.2	401	279	69.6	3074	7.67	279.5	21	7
8	K. Cousins	Min	15	100.9	573	405	70.7	4166	7.27	277.7	29	10
9	R. Fitzpatrick	TB	8	100.4	246	164	66.7	2366	9.62	295.8	17	12
10	J. Goff	LAR	15	99.5	535	349	65.2	4489	8.39	299.3	28	12
11	R. Tannehill	Mia	10	99.0	243	158	65.0	1832	7.54	183.2	17	7
12	A. Luck	Ind	15	98.0	604	406	67.2	4308	7.13	287.2	36	14
13	A. Rodgers	GB	15	97.8	592	369	62.3	4416	7.46	294.4	25	2
14	B. Roethlisberger	Pit	15	97.3	630	421	66.8	4842	7.69	322.8	33	15
15	M. Trubisky	Chi	13	96.0	408	271	66.4	3060	7.50	235.4	24	12
16	D. Carr	Oak	15	96.0	520	357	68.7	3864	7.43	257.6	19	8
17	T. Brady	NE	15	95.4	537	351	65.4	4105	7.64	273.7	25	11
18	B. Mayfield	Cle	13	95.1	444	287	64.6	3349	7.54	257.6	24	11
19	D. Prescott	Dal	15	94.7	482	329	68.3	3498	7.26	233.2	18	8
20	C. Newton	Car	14	94.2	471	320	67.9	3395	7.21	242.5	24	13
