team,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Season,week,prior_week,post_week
bears,0,1,0,0,23,24,-1,-1,1,0,0,0,2018,1,19,18
bengals,2,0,0,1,68,46,22,11,7.6,18.6,10.5,8.2,2018,1,16,16
bills,0,1,0,0,3,47,-44,-44,6.7,-37.3,-21,-16.3,2018,1,32,32
broncos,1,0,0,1,27,24,3,3,-3,0,0,0,2018,1,15,17
browns,0,0,1,0.5,21,21,0,0,0,0,0,0,2018,1,25,24
buccaneers,1,0,0,1,48,40,8,8,-8,0,0,0,2018,1,29,20
cardinals,0,1,0,0,6,24,-18,-18,18,0,0,0,2018,1,18,28
chargers,0,1,0,0,28,38,-10,-10,10,0,0,0,2018,1,9,11
chiefs,1,0,0,1,38,28,10,10,-10,0,0,0,2018,1,21,10
colts,0,1,0,0,23,34,-11,-11,11.6,0.6,0.3,0.3,2018,1,31,30
cowboys,0,1,0,0,8,16,-8,-8,8,0,0,0,2018,1,22,25
dolphins,1,0,0,1,27,20,7,7,-7,0,0,0,2018,1,26,23
eagles,1,0,0,1,18,12,6,6,-6,0,0,0,2018,1,1,1
falcons,0,1,0,0,12,18,-6,-6,6,0,0,0,2018,1,3,6
giants,0,1,0,0,15,20,-5,-5,5,0,0,0,2018,1,20,19
jaguars,1,0,0,1,20,15,5,5,-5,0,0,0,2018,1,8,5
jets,1,0,0,1,48,17,31,31,-31,0,0,0,2018,1,29,22
lions,0,1,0,0,17,48,-31,-31,31,0,0,0,2018,1,24,31
niners,0,1,0,0,16,24,-8,-8,8,0,0,0,2018,1,23,21
packers,1,0,0,1,24,23,1,1,-1,0,0,0,2018,1,6,7
panthers,1,0,0,1,16,8,8,8,-8,0,0,0,2018,1,13,13
patriots,1,0,0,1,27,20,7,7,-7,0,0,0,2018,1,2,2
raiders,0,1,0,0,13,33,-20,-20,20,0,0,0,2018,1,28,29
rams,1,0,0,1,33,13,20,20,-20,0,0,0,2018,1,4,3
ravens,1,1,0,0.5,70,37,33,16.5,-16.8,-0.3,-0.2,-0.2,2018,1,17,15
redskins,1,0,0,1,24,6,18,18,-18,0,0,0,2018,1,12,8
saints,0,1,0,0,40,48,-8,-8,8,0,0,0,2018,1,5,9
seahawks,0,1,0,0,24,27,-3,-3,3,0,0,0,2018,1,27,26
steelers,0,0,1,0.5,21,21,0,0,0,0,0,0,2018,1,10,12
texans,0,1,0,0,20,27,-7,-7,7,0,0,0,2018,1,11,14
titans,0,1,0,0,20,27,-7,-7,7,0,0,0,2018,1,14,27
vikings,1,0,0,1,24,16,8,8,-8,0,0,0,2018,1,7,4
bengals,2,0,0,1,,,,,,,,,2018,2,16,11
broncos,2,0,0,1,,,,,,,,,2018,2,17,14
jaguars,2,0,0,1,,,,,,,,,2018,2,5,1
chiefs,2,0,0,1,,,,,,,,,2018,2,10,3
rams,2,0,0,1,,,,,,,,,2018,2,3,2
dolphins,2,0,0,1,,,,,,,,,2018,2,23,18
buccaneers,2,0,0,1,,,,,,,,,2018,2,20,6
packers,1,0,1,0.75,,,,,,,,,2018,2,7,4
vikings,1,0,1,0.75,,,,,,,,,2018,2,4,5
falcons,1,1,0,0.5,,,,,,,,,2018,2,6,9
ravens,1,1,0,0.5,,,,,,,,,2018,2,15,17
panthers,1,1,0,0.5,,,,,,,,,2018,2,13,13
cowboys,1,1,0,0.5,,,,,,,,,2018,2,25,26
colts,1,1,0,0.5,,,,,,,,,2018,2,30,20
chargers,1,1,0,0.5,,,,,,,,,2018,2,11,10
patriots,1,1,0,0.5,,,,,,,,,2018,2,2,8
saints,1,1,0,0.5,,,,,,,,,2018,2,9,12
jets,1,1,0,0.5,,,,,,,,,2018,2,22,23
eagles,1,1,0,0.5,,,,,,,,,2018,2,1,7
niners,1,1,0,0.5,,,,,,,,,2018,2,21,25
titans,1,1,0,0.5,,,,,,,,,2018,2,27,19
redskins,1,1,0,0.5,,,,,,,,,2018,2,8,24
browns,0,1,1,0.25,,,,,,,,,2018,2,24,22
steelers,0,1,1,0.25,,,,,,,,,2018,2,12,16
cardinals,0,2,0,0,,,,,,,,,2018,2,28,32
bills,0,2,0,0,,,,,,,,,2018,2,32,31
bears,0,2,0,0,,,,,,,,,2018,2,18,15
lions,0,2,0,0,,,,,,,,,2018,2,31,30
texans,0,2,0,0,,,,,,,,,2018,2,14,21
giants,0,2,0,0,,,,,,,,,2018,2,19,27
raiders,0,2,0,0,,,,,,,,,2018,2,29,28
seahawks,0,2,0,0,,,,,,,,,2018,2,26,29
dolphins,3,0,0,1,,,,,,,,,2018,3,18,9
jets,1,2,0,0.333,,,,,,,,,2018,3,23,22
patriots,1,2,0,0.333,,,,,,,,,2018,3,8,24
bills,1,2,0,0.333,,,,,,,,,2018,3,31,26
bengals,2,1,0,0.667,,,,,,,,,2018,3,11,12
ravens,2,1,0,0.667,,,,,,,,,2018,3,17,13
browns,1,1,1,0.5,,,,,,,,,2018,3,22,14
steelers,0,1,1,0.25,,,,,,,,,2018,3,16,10
titans,2,1,0,0.667,,,,,,,,,2018,3,19,20
jaguars,2,1,0,0.667,,,,,,,,,2018,3,1,8
colts,1,2,0,0.333,,,,,,,,,2018,3,20,15
texans,0,3,0,0,,,,,,,,,2018,3,21,30
chiefs,3,0,0,1,,,,,,,,,2018,3,3,2
broncos,2,1,0,0.667,,,,,,,,,2018,3,14,21
chargers,1,2,0,0.333,,,,,,,,,2018,3,10,11
raiders,0,3,0,0,,,,,,,,,2018,3,28,28
eagles,2,1,0,0.667,,,,,,,,,2018,3,7,4
redskins,2,1,0,0.667,,,,,,,,,2018,3,24,16
cowboys,1,2,0,0.333,,,,,,,,,2018,3,26,27
giants,1,2,0,0.333,,,,,,,,,2018,3,27,29
bears,2,1,0,0.667,,,,,,,,,2018,3,15,18
packers,1,1,1,0.5,,,,,,,,,2018,3,4,17
vikings,1,1,1,0.5,,,,,,,,,2018,3,5,19
lions,1,2,0,0.333,,,,,,,,,2018,3,30,23
buccaneers,2,0,0,1,,,,,,,,,2018,3,6,5
saints,2,1,0,0.667,,,,,,,,,2018,3,12,3
panthers,2,1,0,0.667,,,,,,,,,2018,3,13,7
falcons,1,2,0,0.333,,,,,,,,,2018,3,9,6
rams,3,0,0,1,,,,,,,,,2018,3,2,1
niners,1,2,0,0.333,,,,,,,,,2018,3,25,31
seahawks,1,2,0,0.333,,,,,,,,,2018,3,29,25
cardinals,0,3,0,0,,,,,,,,,2018,3,32,32
dolphins,3,1,0,0.75,82,90,-8,-2,-0.6,-2.6,-3.5,0.9,2018,4,9,18
patriots,2,2,0,0.5,95,84,11,2.8,-1.4,1.3,-1.6,3,2018,4,24,5
jets,1,3,0,0.25,89,89,0,0,0.3,0.3,-1.5,1.8,2018,4,22,29
bills,1,3,0,0.25,50,106,-56,-14,2.5,-11.5,-13.2,1.7,2018,4,26,31
ravens,3,1,0,0.75,123,65,58,14.5,-0.3,14.2,9.6,4.6,2018,4,13,9
bengals,3,1,0,0.75,126,113,13,3.3,6.9,10.1,9.3,0.8,2018,4,12,8
browns,1,2,1,0.375,102,104,-2,-0.5,-0.6,-1.1,-0.5,-0.6,2018,4,14,24
steelers,1,2,1,0.375,102,116,-14,-3.5,4,0.5,-2,2.5,2018,4,10,16
titans,3,1,0,0.75,75,73,2,0.5,0.3,0.8,-2.7,3.5,2018,4,20,12
jaguars,3,1,0,0.75,88,56,32,8,-2.2,5.8,-0.8,6.6,2018,4,8,4
texans,1,3,0,0.25,96,108,-12,-3,1,-2,2.1,-4.1,2018,4,30,26
colts,1,3,0,0.25,94,100,-6,-1.5,2.5,1,1.8,-0.8,2018,4,15,28
chiefs,4,0,0,1,145,115,30,7.5,-0.2,7.3,13.8,-6.5,2018,4,2,2
broncos,2,2,0,0.5,84,97,-13,-3.3,2.8,-0.4,-6.8,6.4,2018,4,21,20
chargers,2,2,0,0.5,111,120,-9,-2.3,0.4,-1.9,3.9,-5.8,2018,4,11,6
raiders,1,3,0,0.25,97,123,-26,-6.5,1.7,-4.8,3.2,-8.1,2018,4,28,27
